Username,FollowLength,IsFollower,BatName,BatGender,BatColor,0
ridgure,0,1,test123,Male,Black,1
yakuza_xi,131023155,1,Shrike,Male,Brown,0
XxYumYumCookiexX,130869810,1,Matrix,Male,Red,0
Coolguykiddler,130868381,1,Dawnstar,Female,Black,0
Onlyalonelygirl,130866183,1,Morticia,Female,Black,0
Pantonyt,130800903,1,Nyx,Male,Brown,0
NeverTrustCorridors,130779884,1,Nibbles,Female,Black,0
tunac4pt0r,130490436,1,Shadow,Male,Black,0
nawtnotnewt,130430380,1,Sonar,Male,Brown,0
Vanerson,130374669,1,Blade,Male,Black,0
Minecraftgurl1416,130279288,1,Star,Female,Black,0
telephone135,130276714,1,Baxter,Male,Brown,0
KingJosiahGaming,130276676,1,Siren,Female,Red,0
Baronhelmutschnitzelnazi,130275046,1,Lucifer,Male,Black,0
tortleworfore,129992569,1,Ripmaw,Male,Black,0
TigerHobbes,129992525,1,Sade,Female,Brown,0
brycebanks09,129732697,1,Skylar,Female,Black,0
kaptainpokemon,129565892,1,Blade,Male,Black,0
Lucasofgamers,129102669,1,Indigo,Female,Brown,0
howtominecraft3,128750991,1,Raine,Female,Black,0
Bow_____down,128449739,1,Draculon,Male,Black,0
misardian,97927824,0,Butch,Male,Brown,0
AsapCatFTW,128355670,1,Dimitri,Male,Red,0
ryanhalligandangled,128130867,1,Char,Male,Black,0
sticken,128097991,1,Illumina,Female,Black,0
Runicskate,128094934,1,Violet,Female,Brown,0
Go_to_heaven_360,128094892,1,Skylar,Female,Black,0
laxerz,128090335,1,Sage,Female,Black,0
epicmanjo,128088254,1,Morticia,Female,Brown,0
average_revolutioncraftnl,127908363,1,Vulkan,Male,Black,0
Average_Kevin,127908003,1,Blues,Male,Black,0
FakeViral,127906360,1,Blues,Male,Brown,0
RobertRo8,127646850,1,Sade,Female,Red,0
chemsauce,127459687,1,Sabath,Male,Black,0
Jon192,127457429,1,Sade,Female,Black,0
captain_raost,127454656,1,Fuzz,Male,Brown,0
ilikenojuice,127444063,1,Nugget,Female,Black,0
hussein_12345ali,127237418,1,Nibbles,Female,Black,0
jenzie2003,127222716,1,Booboo,Male,Brown,0
idavelthoven,127178365,1,Vladimir,Male,Black,0
persentile123,127144213,1,Star,Female,Black,0
danzathepariah,127140417,1,Comet,Male,Brown,0
liberace99,112420477,0,Twilight,Female,Red,0
Buddergod1,127054081,1,Aine,Female,Black,0
Blizzzzz22222,127054045,1,Shrike,Male,Black,0
bannananugget22,127048802,1,Ash,Male,Brown,0
makerofchaos1,127038956,1,Nugget,Female,Black,0
Jilly_1234567,127038234,1,Rhyme,Female,Black,0
blacklivesdontmatteratall,127037075,1,Lucy,Female,Brown,0
Kawad771,127034808,1,Vulkan,Male,Black,0
Roguez13,127034789,1,Lucifer,Male,Black,0
thetimeking_01,127032994,1,Baxter,Male,Brown,0
Icywhitesam,127031042,1,Scarlett,Female,Red,0
Big_bad_tom,126724087,1,Dawnstar,Female,Black,0
dopeimminent,126718979,1,Lady,Female,Black,0
surprise_im_back1,108618441,0,Skylar,Female,Brown,0
Tsukemaru,126296347,1,Mirage,Female,Black,0
ball4ly,126196002,1,Flaps,Male,Black,0
moonman_42069,126192088,1,Abby,Female,Brown,0
akariharris12,126191661,1,Moonlight,Female,Black,0
Moonman_is_god,126191379,1,Mittens,Female,Black,0
Galaxyerror,125076569,1,Abby,Female,Brown,0
progamerdude101,124643979,1,Dawnstar,Female,Red,0
xmerciplaysmcx,123942058,1,Equinox,Female,Black,0
dinnertimeTV,123424841,1,Aine,Female,Black,0
Filipinoboi51,123424713,1,Dawnstar,Female,Brown,0
madbirdplayz,123417845,1,Skylar,Female,Black,0
sour_angry,123414591,1,Blues,Male,Black,0
McChoonce,123414444,1,Vulkan,Male,Brown,0
WillsonteCat,122396010,1,Screech,Male,Black,0
Sabbertron,122386579,1,Twilight,Female,Black,0
Tankdrath,122377271,1,Ripmaw,Male,Brown,0
Wrabbit4444,122262378,1,Darth,Male,Red,0
chrisandthemikerocks,120784101,1,Velvet,Female,Black,0
Temparmy,120782601,1,Angel,Female,Black,0
thoughtcheese8,120781662,1,Sage,Female,Brown,0
donteruis,120776246,1,Ruth,Female,Black,0
frzze,120765565,1,Screech,Male,Black,0
Shadow2500,120759959,1,Scarlett,Female,Brown,0
cooldude556690,120757509,1,Moonlight,Female,Black,0
young_twipz,119052289,1,Cole,Male,Black,0
brandon_richter,118523759,1,Cole,Male,Brown,0
dj_k1n6p1n,118519201,1,Flutters,Female,Black,0
sivetrexx,118516576,1,Spuds,Male,Red,0
matthewboi,115458056,1,Drake,Male,Black,0
x_Dragonbreath_x,83966672,0,Vamp,Male,Brown,0
brentrules,113604906,1,Rascal,Male,Black,0
redtech1020,113593647,1,Vulkan,Male,Black,0
justb911,113587621,1,Draculon,Male,Brown,0
catsbollocks,113422276,1,Nibbles,Female,Black,0
SplitRaid,113363822,1,Aura,Female,Black,0
xdestroybangerzx,113029229,1,Sage,Female,Brown,0
masterkiko2002,112344241,1,Butch,Male,Red,0
screamurrdreamurr,111895365,1,Skylar,Female,Black,0
barebaricgalaxy,111863385,1,Rhyme,Female,Black,0
manu_best123,111702763,1,Illumina,Female,Brown,0
megustatupeloelm,111701582,1,Mirage,Female,Black,0
roffaogflanderos,111346056,1,Vulkan,Male,Black,0
stormhauk,110525877,1,Orion,Male,Brown,0
laceymorbid,109643391,1,Velvet,Female,Black,0
yourij0,108629728,1,Cookie,Female,Black,0
ventoes_dad,108626731,1,Trixy,Female,Brown,0
dreamsonar,93976816,0,Nibbles,Female,Red,0
TheGloriousKimJongUn,108619179,1,Skylar,Female,Black,0
Kankub123,108543272,1,Midnight,Male,Black,0
Pepperboy2002,108340718,1,Baxter,Male,Brown,0
moonoi,108337425,1,Sonar,Male,Black,0
korosh2003,107131671,1,Trixy,Female,Black,0
kevinkuz9,107123534,1,Cerulean,Female,Brown,0
piponeilgrande,106799216,1,Abby,Female,Black,0
liighwind,106798947,1,Lucy,Female,Black,0
TheShrubb3ry,106785211,1,Wingnut,Male,Brown,0
mhansen5,106625353,1,Cerulean,Female,Red,0
sireotnn,106283916,1,Shrike,Male,Black,0
atoruiz01,106088358,1,Sade,Female,Black,0
laoola,106085029,1,Rhyme,Female,Brown,0
h8vs,106080743,1,Skye,Female,Black,0
Catinspecs,106014780,1,Sabath,Male,Black,0
VenganceCathy,91106151,0,Nibbles,Female,Brown,0
hellhome2011,91005078,0,Drake,Male,Black,0
harcashbreak,105549196,1,Equina,Female,Black,0
Enigmatax,105542137,1,Cookie,Female,Brown,0
atsukiyou,105485252,1,Angel,Male,Red,0
deadlykiwio0,105125935,1,Vladimir,Male,Black,0
Naemesis,104290126,1,Indigo,Female,Black,0
girlygirl731,104220403,1,Sonar,Male,Brown,0
erlendstendal,104212906,1,Orion,Male,Black,0
ha8r_,104212728,1,Moonlight,Female,Black,0
lividjoker420,103652736,1,Sona,Female,Brown,0
InDaBowl,72946935,0,Indigo,Female,Black,0
Bigunsbigmoney,81110590,0,Trixy,Female,Black,0
Doge1232311,102763481,1,Mittens,Female,Brown,0
MasterreinGames,102547299,1,Sabath,Male,Red,0
crmix,101851280,1,Fuzz,Male,Black,0
spectrumyt10,100625918,1,Nibbles,Female,Black,0
xaviordanger1738,100037866,1,Shine,Female,Brown,0
Majestic_lace,100027906,1,Butch,Male,Black,0
the_nerdster,99523201,1,Sage,Female,Black,0
Eggceptional,99523181,1,Cerulean,Female,Brown,0
itz_wofq,99416663,1,Darth,Male,Black,0
stalin_pepe,98825597,1,Midnight,Male,Black,0
BunnyPlayss,98818888,1,Butch,Male,Brown,0
xAurionZz,98810311,1,Aura,Female,Red,0
bosspro1,98210840,1,Vulkan,Male,Black,0
FearEmpty,96409497,1,Wingnut,Male,Black,0
midnight_phantom1,96406970,1,Mothra,Male,Brown,0
chromeking23,95873025,1,Mittens,Female,Black,0
hybridofficial,95870610,1,Butch,Male,Black,0
desiigner_1panda,95870602,1,Dawnstar,Female,Brown,0
towerofpimps0603,95864997,1,Dexter,Male,Black,0
dRAGoNwinchester,76763662,0,Equina,Female,Black,0
cooljay118,95350009,1,Star,Female,Brown,0
LukesterGaming,95040756,1,Velvet,Female,Red,1
TheLilocean_B,95013400,1,Aine,Female,Black,0
DarkChika,95013376,1,Brutus,Male,Black,0
BloodDragon262626,95013348,1,Grey,Male,Brown,0
SlothHipster,94962963,1,Baxter,Male,Black,0
realkipisbae,62282818,0,Violet,Female,Black,0
GamerGirlIcy,65020450,0,Vladimir,Male,Brown,0
Locoman101,94831655,1,Angel,Male,Black,0
Rick_C_C_100,62191323,0,Lockjaw,Male,Black,0
brickmountainfire,94670847,1,Nightmare,Male,Brown,0
LilGamerHelle,94669716,1,Brutus,Male,Red,1
jeremeister06,94583848,1,Wingnut,Male,Black,0
Lukerrino200,94394359,1,Skye,Female,Black,0
wcarterh,63525915,0,Vulkan,Male,Brown,0
Flo1489,94102344,1,Sage,Female,Black,0
Clawsom,93368295,1,Butch,Male,Black,0
IAmTonyAMA,92872560,1,Aura,Female,Brown,0
captain_lxgan,92598533,1,Ruth,Female,Black,0
lolcatface4562,92596373,1,Giggles,Female,Black,0
ilovry,92584842,1,Butch,Male,Brown,0
Urodriguez3,91990805,1,Midnight,Male,Black,0
shiftymurderess,76911175,0,Nibbles,Female,Red,0
wittyguycific,90978440,1,Sonar,Male,Black,0
Firefly405,90956489,1,Dexter,Male,Brown,0
MelodyofWolf,90355097,1,Azar,Male,Black,0
Jibbadizer,90340853,1,Vulkan,Male,Black,0
PhatMale,90337108,1,Impaler,Male,Brown,0
xSCRAPx,90093936,1,Nyx,Male,Black,0
vanheestbeest,89725008,1,Azurys,Female,Black,0
RandomMarieChick,89666808,1,Dimitri,Male,Brown,0
aileeplays,89138500,1,Skylar,Female,Red,0
mrkingthink1,87925074,1,Basil,Male,Black,0
foxzoolm,87921458,1,Skylar,Female,Black,0
rezgod666jr,87337892,1,Vladimir,Male,Brown,0
cincy_moto,55955135,0,Giggles,Female,Black,0
zigersquad,87329544,1,Cookie,Female,Black,0
jayfeather_12_7,87263362,1,Spectre,Male,Brown,0
themememic,86930992,1,Sabath,Male,Black,0
the_vytcka,85878653,1,Guano,Male,Black,0
SkippyLT,85878650,1,Harmony,Female,Brown,0
lunx_tremor,84880611,1,Cerulean,Female,Red,0
killer69691010,84880525,1,Fuzz,Male,Black,0
Manicminer51,84876589,1,Booboo,Male,Black,0
mrderpy01,84875725,1,Trixy,Female,Brown,0
Lokbatch,84870422,1,Azar,Male,Black,0
cakepuppy89,84740478,1,Sabath,Male,Black,0
xXBryton,84725853,1,Dawnstar,Female,Brown,0
