Username,FollowLength,IsFollower,BatName,BatGender,BatColor,0
ridgure,0,1,test123,Male,Black,1
yakuza_xi,101186255,1,Shrike,Male,Brown,0
XxYumYumCookiexX,101032910,1,Matrix,Male,Red,0
Coolguykiddler,101031481,1,Dawnstar,Female,Black,0
Onlyalonelygirl,101029283,1,Morticia,Female,Black,0
Pantonyt,100964003,1,Nyx,Male,Brown,0
NeverTrustCorridors,100942984,1,Nibbles,Female,Black,0
tunac4pt0r,100653536,1,Shadow,Male,Black,0
nawtnotnewt,100593480,1,Sonar,Male,Brown,0
Vanerson,100537769,1,Blade,Male,Black,0
Minecraftgurl1416,100442388,1,Star,Female,Black,0
telephone135,100439814,1,Baxter,Male,Brown,0
KingJosiahGaming,100439776,1,Siren,Female,Red,0
Baronhelmutschnitzelnazi,100438146,1,Lucifer,Male,Black,0
tortleworfore,100155669,1,Ripmaw,Male,Black,0
TigerHobbes,100155625,1,Sade,Female,Brown,0
brycebanks09,99895797,1,Skylar,Female,Black,0
kaptainpokemon,99728992,1,Blade,Male,Black,0
Lucasofgamers,99265769,1,Indigo,Female,Brown,0
howtominecraft3,98914091,1,Raine,Female,Black,0
Bow_____down,98612839,1,Draculon,Male,Black,0
misardian,97927824,0,Butch,Male,Brown,0
AsapCatFTW,98518770,1,Dimitri,Male,Red,0
ryanhalligandangled,98293967,1,Char,Male,Black,0
sticken,98261091,1,Illumina,Female,Black,0
Runicskate,98258034,1,Violet,Female,Brown,0
Go_to_heaven_360,98257992,1,Skylar,Female,Black,0
laxerz,98253435,1,Sage,Female,Black,0
epicmanjo,98251354,1,Morticia,Female,Brown,0
average_revolutioncraftnl,98071463,1,Vulkan,Male,Black,0
Average_Kevin,98071103,1,Blues,Male,Black,0
FakeViral,98069460,1,Blues,Male,Brown,0
RobertRo8,97809950,1,Sade,Female,Red,0
chemsauce,97622787,1,Sabath,Male,Black,0
Jon192,97620529,1,Sade,Female,Black,0
captain_raost,97617756,1,Fuzz,Male,Brown,0
ilikenojuice,97607163,1,Nugget,Female,Black,0
hussein_12345ali,97400518,1,Nibbles,Female,Black,0
jenzie2003,97385816,1,Booboo,Male,Brown,0
idavelthoven,97341465,1,Vladimir,Male,Black,0
persentile123,97307313,1,Star,Female,Black,0
danzathepariah,97303517,1,Comet,Male,Brown,0
liberace99,97228422,1,Twilight,Female,Red,0
Buddergod1,97217181,1,Aine,Female,Black,0
Blizzzzz22222,97217145,1,Shrike,Male,Black,0
bannananugget22,97211902,1,Ash,Male,Brown,0
makerofchaos1,97202056,1,Nugget,Female,Black,0
Jilly_1234567,97201334,1,Rhyme,Female,Black,0
blacklivesdontmatteratall,97200175,1,Lucy,Female,Brown,0
Kawad771,97197908,1,Vulkan,Male,Black,0
Roguez13,97197889,1,Lucifer,Male,Black,0
thetimeking_01,97196094,1,Baxter,Male,Brown,0
Icywhitesam,97194142,1,Scarlett,Female,Red,0
Big_bad_tom,96887187,1,Dawnstar,Female,Black,0
dopeimminent,96882079,1,Lady,Female,Black,0
surprise_im_back1,96643473,1,Skylar,Female,Brown,0
Tsukemaru,96459447,1,Mirage,Female,Black,0
ball4ly,96359102,1,Flaps,Male,Black,0
moonman_42069,96355188,1,Abby,Female,Brown,0
akariharris12,96354761,1,Moonlight,Female,Black,0
Moonman_is_god,96354479,1,Mittens,Female,Black,0
Galaxyerror,95239669,1,Abby,Female,Brown,0
progamerdude101,94807079,1,Dawnstar,Female,Red,0
xmerciplaysmcx,94105158,1,Equinox,Female,Black,0
dinnertimeTV,93587941,1,Aine,Female,Black,0
Filipinoboi51,93587813,1,Dawnstar,Female,Brown,0
madbirdplayz,93580945,1,Skylar,Female,Black,0
sour_angry,93577691,1,Blues,Male,Black,0
McChoonce,93577544,1,Vulkan,Male,Brown,0
WillsonteCat,92559110,1,Screech,Male,Black,0
Sabbertron,92549679,1,Twilight,Female,Black,0
Tankdrath,92540371,1,Ripmaw,Male,Brown,0
Wrabbit4444,92425478,1,Darth,Male,Red,0
chrisandthemikerocks,90947201,1,Velvet,Female,Black,0
Temparmy,90945701,1,Angel,Female,Black,0
thoughtcheese8,90944762,1,Sage,Female,Brown,0
donteruis,90939346,1,Ruth,Female,Black,0
frzze,90928665,1,Screech,Male,Black,0
Shadow2500,90923059,1,Scarlett,Female,Brown,0
cooldude556690,90920609,1,Moonlight,Female,Black,0
young_twipz,89215389,1,Cole,Male,Black,0
brandon_richter,88686859,1,Cole,Male,Brown,0
dj_k1n6p1n,88682301,1,Flutters,Female,Black,0
sivetrexx,88679676,1,Spuds,Male,Red,0
matthewboi,85621156,1,Drake,Male,Black,0
x_Dragonbreath_x,83948672,1,Vamp,Male,Brown,0
brentrules,83768006,1,Rascal,Male,Black,0
redtech1020,83756747,1,Vulkan,Male,Black,0
justb911,83750721,1,Draculon,Male,Brown,0
catsbollocks,83585376,1,Nibbles,Female,Black,0
SplitRaid,83526922,1,Aura,Female,Black,0
xdestroybangerzx,83192329,1,Sage,Female,Brown,0
masterkiko2002,82507341,1,Butch,Male,Red,0
screamurrdreamurr,82058465,1,Skylar,Female,Black,0
barebaricgalaxy,82026485,1,Rhyme,Female,Black,0
manu_best123,81865863,1,Illumina,Female,Brown,0
megustatupeloelm,80154602,0,Mirage,Female,Black,0
roffaogflanderos,81509156,1,Vulkan,Male,Black,0
stormhauk,80688977,1,Orion,Male,Brown,0
laceymorbid,79806491,1,Velvet,Female,Black,0
yourij0,78792828,1,Cookie,Female,Black,0
ventoes_dad,78789831,1,Trixy,Female,Brown,0
dreamsonar,78784761,1,Nibbles,Female,Red,0
TheGloriousKimJongUn,78782279,1,Skylar,Female,Black,0
Kankub123,78706372,1,Midnight,Male,Black,0
Pepperboy2002,78503818,1,Baxter,Male,Brown,0
moonoi,78500525,1,Sonar,Male,Black,0
korosh2003,77294771,1,Trixy,Female,Black,0
kevinkuz9,77286634,1,Cerulean,Female,Brown,0
piponeilgrande,76962316,1,Abby,Female,Black,0
liighwind,76962047,1,Lucy,Female,Black,0
TheShrubb3ry,76948311,1,Wingnut,Male,Brown,0
mhansen5,76788453,1,Cerulean,Female,Red,0
sireotnn,76447016,1,Shrike,Male,Black,0
atoruiz01,76251458,1,Sade,Female,Black,0
laoola,76248129,1,Rhyme,Female,Brown,0
h8vs,76243843,1,Skye,Female,Black,0
Catinspecs,76177880,1,Sabath,Male,Black,0
VenganceCathy,75914096,1,Nibbles,Female,Brown,0
hellhome2011,75813023,1,Drake,Male,Black,0
harcashbreak,75712296,1,Equina,Female,Black,0
Enigmatax,75705237,1,Cookie,Female,Brown,0
atsukiyou,75648352,1,Angel,Male,Red,0
deadlykiwio0,75289035,1,Vladimir,Male,Black,0
Naemesis,74453226,1,Indigo,Female,Black,0
girlygirl731,74383503,1,Sonar,Male,Brown,0
erlendstendal,74376006,1,Orion,Male,Black,0
ha8r_,74375828,1,Moonlight,Female,Black,0
lividjoker420,73815836,1,Sona,Female,Brown,0
InDaBowl,72928935,1,Indigo,Female,Black,0
Bigunsbigmoney,72927905,1,Trixy,Female,Black,0
Doge1232311,72926581,1,Mittens,Female,Brown,0
MasterreinGames,72710399,1,Sabath,Male,Red,0
crmix,72014380,1,Fuzz,Male,Black,0
