Username,FollowAge,IsFollower,BatName,BatGender,BatColor,0
yakuza_xi,28959,0,Lockjaw,Male,Black,0
XxYumYumCookiexX,48414,0,Dot,Female,Brown,0
Coolguykiddler,46985,0,Baxter,Male,Red,0
Onlyalonelygirl,44787,0,Harmony,Female,Black,0
Pantonyt,65907,0,Blues,Male,Black,0
NeverTrustCorridors,44888,0,Lucifer,Male,Brown,0
tunac4pt0r,14640,0,Raine,Female,Black,0
nawtnotnewt,40984,0,Skylar,Female,Black,0
Vanerson,71673,0,Ivy,Female,Brown,0
Minecraftgurl1416,62692,0,Screech,Male,Black,0
telephone135,60118,0,Drake,Male,Black,0
KingJosiahGaming,60080,0,Lucy,Female,Brown,0
Baronhelmutschnitzelnazi,58450,0,Harmony,Female,Red,0
tortleworfore,35173,0,Aura,Female,Black,0
TigerHobbes,35129,0,Blade,Male,Black,0
brycebanks09,34501,0,Vladimir,Male,Brown,0
kaptainpokemon,40496,0,Shade,Female,Black,0
Lucasofgamers,9273,0,Drake,Male,Black,0
howtominecraft3,3195,0,Rascal,Male,Brown,0
Bow_____down,47543,0,Blues,Male,Black,0
misardian,39935,0,Wingnut,Male,Black,0
AsapCatFTW,39874,0,Rhyme,Female,Brown,0
ryanhalligandangled,74271,0,Shadow,Male,Red,0
sticken,41395,0,Brutus,Male,Black,0
Runicskate,38338,0,Spuds,Male,Black,0
Go_to_heaven_360,38296,0,Raine,Female,Brown,0
laxerz,33739,0,Indigo,Female,Black,0
epicmanjo,31658,0,Dexter,Male,Black,0
average_revolutioncraftnl,24567,0,Impaler,Male,Brown,0
Average_Kevin,24207,0,Matrix,Male,Black,0
FakeViral,22564,0,Azurys,Female,Black,0
RobertRo8,22254,0,Impaler,Male,Brown,0
chemsauce,7891,0,Ash,Male,Red,0
Jon192,5633,0,Skylar,Female,Black,0
captain_raost,2860,0,Moon,Male,Black,0
ilikenojuice,78667,0,Brutus,Male,Brown,0
hussein_12345ali,44822,0,Blues,Male,Black,0
jenzie2003,30120,0,Equina,Female,Black,0
idavelthoven,72169,0,Sona,Female,Brown,0
persentile123,38017,0,Azar,Male,Black,0
danzathepariah,34221,0,Velvet,Female,Black,0
liberace99,45526,0,Wingnut,Male,Brown,0
Buddergod1,34285,0,Illumina,Female,Red,0
Blizzzzz22222,34249,0,Equinox,Female,Black,0
bannananugget22,29006,0,Moonlight,Female,Black,0
makerofchaos1,19160,0,Morning,Female,Brown,0
Jilly_1234567,18438,0,Azar,Male,Black,0
blacklivesdontmatteratall,17279,0,Blade,Male,Black,0
Kawad771,15012,0,Cole,Male,Brown,0
Roguez13,14993,0,Rascal,Male,Black,0
thetimeking_01,13198,0,Indigo,Female,Black,0
Icywhitesam,11246,0,Grey,Male,Brown,0
Big_bad_tom,49891,0,Skylar,Female,Red,0
dopeimminent,44783,0,Vulkan,Male,Black,0
surprise_im_back1,65377,0,Nibbles,Female,Black,0
Tsukemaru,54151,0,Shrike,Male,Brown,0
ball4ly,40206,0,Blues,Male,Black,0
moonman_42069,36292,0,Lady,Female,Black,0
akariharris12,35865,0,Echo,Female,Brown,0
Moonman_is_god,35583,0,Trixy,Female,Black,0
Galaxyerror,43973,0,Dimitri,Male,Black,0
progamerdude101,43383,0,Darth,Male,Brown,0
xmerciplaysmcx,32662,0,Cookie,Female,Red,0
dinnertimeTV,33845,0,Scarlett,Female,Black,0
Filipinoboi51,33717,0,Velvet,Female,Black,0
madbirdplayz,26849,0,Darth,Male,Brown,0
sour_angry,23595,0,Trixy,Female,Black,0
McChoonce,23448,0,Azurys,Female,Black,0
WillsonteCat,41814,0,Abby,Female,Brown,0
Sabbertron,32383,0,Haze,Female,Black,0
Tankdrath, ,0,Dimitri,Male,Black,0
Wrabbit4444,80982,0,Scarlett,Female,Brown,0
chrisandthemikerocks,71505,0,Iris,Female,Red,0
Temparmy,70005,0,Azar,Male,Black,0
thoughtcheese8,69066,0,Sona,Female,Black,0
donteruis,63650,0,Trixy,Female,Brown,0
frzze,52969,0,Iris,Female,Black,0
Shadow2500,47363,0,Lockjaw,Male,Black,0
cooldude556690,44913,0,Ivy,Female,Brown,0
young_twipz,67693,0,Echo,Female,Black,0
brandon_richter,57563,0,Illumina,Female,Black,0
dj_k1n6p1n,53005,0,Echo,Female,Brown,0
sivetrexx,50380,0,Tiberius,Male,Black,0
matthewboi,15860,0,Nugget,Female,Red,0
x_Dragonbreath_x,71376,0,Screech,Male,Black,0
brentrules,63510,0,Spectre,Male,Brown,0
redtech1020,52251,0,Wingnut,Male,Black,0
justb911,46225,0,Tiberius,Male,Black,0
catsbollocks,53680,0,Shade,Female,Brown,0
SplitRaid,81626,0,Blues,Male,Black,0
xdestroybangerzx,6233,0,Blade,Male,Black,0
masterkiko2002,12445,0,Siren,Female,Brown,0
screamurrdreamurr,81969,0,Lucy,Female,Red,0
barebaricgalaxy,49989,0,Wingnut,Male,Black,0
manu_best123,62167,0,Dimitri,Male,Black,0
megustatupeloelm,60986,0,Bandetta,Female,Brown,0
roffaogflanderos,51060,0,Wingnut,Male,Black,0
stormhauk,8481,0,Spectre,Male,Black,0
laceymorbid,76395,0,Ivy,Female,Brown,0
yourij0,13132,0,Lockjaw,Male,Black,0
ventoes_dad,10135,0,Mittens,Female,Black,0
dreamsonar,5065,0,Scarlett,Female,Brown,0
TheGloriousKimJongUn,2583,0,Blade,Male,Red,0
Kankub123,13076,0,Booboo,Male,Black,0
Pepperboy2002,69722,0,Char,Male,Black,0
moonoi,66429,0,Char,Male,Brown,0
korosh2003,70275,0,Vladimir,Male,Black,0
kevinkuz9,62138,0,Nightmare,Male,Black,0
piponeilgrande,83420,0,Orion,Male,Brown,0
liighwind,83151,0,Matrix,Male,Black,0
TheShrubb3ry,69415,0,Tiberius,Male,Black,0
mhansen5,82357,0,Sonar,Male,Brown,0
sireotnn,120,0,Shrike,Male,Red,0
atoruiz01,63762,0,Mothra,Male,Black,0
laoola,60433,0,Echo,Female,Black,0
h8vs,56147,0,Angel,Male,Brown,0
Catinspecs,76584,0,Screech,Male,Black,0
VenganceCathy,72000,0,Comet,Male,Black,0
hellhome2011,57327,0,Char,Male,Brown,0
harcashbreak,43000,0,Drake,Male,Black,0
Enigmatax,35941,0,Sonar,Male,Black,0
atsukiyou,65456,0,Violet,Female,Brown,0
deadlykiwio0,51739,0,Sabath,Male,Red,0
Naemesis,79930,0,Archangel,Male,Black,0
girlygirl731,10207,0,Darth,Male,Black,0
erlendstendal,2710,0,Iris,Female,Brown,0
ha8r_,2532,0,Angel,Male,Black,0
lividjoker420,47340,0,Nugget,Female,Black,0
InDaBowl,24439,0,Sade,Female,Brown,0
Bigunsbigmoney,23409,0,Scarlett,Female,Black,0
Doge1232311,22085,0,Raine,Female,Black,0
MasterreinGames,65103,0,Skye,Female,Brown,0
crmix,60284,0,Giggles,Female,Red,0
spectrumyt10,44522,0,Dexter,Male,Black,0
xaviordanger1738,61270,0,Drake,Male,Black,0
Majestic_lace,51310,0,Comet,Male,Brown,0
the_nerdster,65005,0,Shine,Female,Black,0
Eggceptional,64985,0,Dexter,Male,Black,0
itz_wofq,44867,0,Skylar,Female,Brown,0
stalin_pepe,58601,0,Nightmare,Male,Black,0
BunnyPlayss,51892,0,Iris,Female,Black,0
xAurionZz,43315,0,Trixy,Female,Brown,0
bosspro1,48644,0,Rhyme,Female,Red,0
FearEmpty,61701,0,Dawnstar,Female,Black,0
midnight_phantom1,59174,0,Dawnstar,Female,Black,0
chromeking23,43629,0,Booboo,Male,Brown,0
hybridofficial,41214,0,Ivy,Female,Black,0
desiigner_1panda,41206,0,Shade,Female,Black,0
towerofpimps0603,35601,0,Trixy,Female,Brown,0
dRAGoNwinchester,41267,0,Spuds,Male,Black,0
cooljay118,39013,0,Mothra,Male,Black,0
LukesterGaming,75360,0,Moonlight,Female,Brown,0
TheLilocean_B,48004,0,Spectre,Male,Red,0
DarkChika,47980,0,Star,Female,Black,0
BloodDragon262626,47952,0,Flaps,Male,Black,0
SlothHipster,83967,0,Lucifer,Male,Brown,0
realkipisbae,56163,0,Cole,Male,Black,0
GamerGirlIcy,46754,0,Basil,Male,Black,0
Locoman101,39059,0,Morticia,Female,Brown,0
Rick_C_C_100,51068,0,Dawnstar,Female,Black,0
brickmountainfire,51051,0,Orion,Male,Black,0
LilGamerHelle,49920,0,Flaps,Male,Brown,0
jeremeister06,50452,0,Nugget,Female,Red,0
Lukerrino200,33763,0,Fuzz,Male,Black,0
